Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent  Falls Far Below,Reading Percent  Approaches,Reading Percent  Meets,Reading Percent  Exceeds,Reading Percent  Passing,Writing Mean Scale Score,Writing Percent  Falls Far Below,Writing Percent  Approaches,Writing Percent  Meets,Writing Percent  Exceeds,Writing Percent  Passing,Science Mean Scale Score,Science Percent  Falls Far Below,Science Percent  Approaches,Science Percent  Meets,Science Percent  Exceeds,Science Percent  Passing
2014,ARIZONA,Maricopa,89563,78532000,"Imagine Desert West Middle, Inc.",89564,78532101,Imagine Desert West Middle,Y,415,18,23,45,14,59,510,4,18,75,2,77,498,7,41,50,2,52,503,17,36,27,20,47
2014,ARIZONA,Pinal,4445,110244000,J O Combs Unified School District,89569,110244105,Ellsworth Elementary School,N,383,16,27,41,16,58,485,4,19,72,6,77,494,14,39,44,4,48,502,13,33,42,13,55
2014,ARIZONA,Maricopa,4286,70510000,Phoenix Union High School District,89571,70510290,Betty Fairfax High School,N,480,33,16,39,12,51,690,1,20,73,5,79,493,7,31,61,2,62,467,43,23,24,10,34
2014,ARIZONA,Maricopa,4269,70433000,Buckeye Elementary District,89572,70433104,Steven R. Jasinski Elementary School,N,380,25,24,39,12,51,480,6,25,65,4,69,472,23,50,26,1,27,488,23,24,33,20,53
2014,ARIZONA,Maricopa,4284,70501000,Buckeye Union High School District,89573,70501704,Youngker High School,N,491,29,18,41,13,53,707,1,18,75,6,81,496,6,28,65,2,67,486,42,18,21,19,40
2014,ARIZONA,Pima,4413,100220000,Vail Unified District,89575,100220112,Ocotillo Ridge Elementary,N,419,4,9,39,49,87,508,*,*,66,26,92,530,2,19,69,9,78,561,3,5,30,62,92
2014,ARIZONA,Yuma,4507,140570000,Yuma Union High School District,89576,140570207,Gila Ridge High School,N,485,33,23,37,8,45,706,2,18,73,7,80,489,6,31,62,1,63,467,56,22,15,7,22
2014,ARIZONA,Pinal,4442,110221000,Coolidge Unified District,89577,110221010,Heartland Ranch Elementary School,N,339,38,33,25,3,28,447,5,39,55,1,56,477,9,61,*,*,30,482,28,38,29,5,34
2014,ARIZONA,Pinal,4446,110404000,Casa Grande Elementary District,89578,110404132,McCartney Ranch Elementary School,N,386,11,16,42,31,73,475,4,17,68,12,80,501,8,32,59,2,61,515,11,29,38,22,60
2014,ARIZONA,Pinal,4446,110404000,Casa Grande Elementary District,89579,110404131,Villago Middle School,N,433,17,18,40,26,66,523,4,17,72,6,79,489,12,44,43,1,44,513,21,21,21,37,58
